Typ argumentu (szeregowy lub równoleg³y),Konkluzja,Przes³anka 1,Przes³anka 2,Przes³anka 3,Przes³anka 4,Przes³anka 5,Przes³anka 6,Przes³anka 7,Przes³anka 8
równoleg³y,#Szczepimysiê,Szczepienie pozwala unikn¹æ zachorowania na COVID-19 lub ³agodnie przejœæ przez zaka¿enie.,"Pandemia jeszcze siê nie skoñczy³a, a koronawirus wci¹¿ jest niebezpieczny",Wspólnie mo¿emy unikn¹æ IV fali koronawirusa.,,,,,
szeregowy,Zaszczep siê i wspólnie zatrzymajmy kolejn¹ falê,"Nie szczepi¹c siê, skazujecie nas [lokale gastronomiczne] na powrót obostrzeñ, a siebie na brak dostêpu do takich miejsc.",Ponad 99% zgonów na COVID-19 to osoby niezaszczepione.,Konieczny mo¿e byæ kolejny lockdown.,,,,,
równoleg³y,Warto siê szczepiæ,Z bardzo du¿ym prawdopodobieñstwem – siêgaj¹cym nawet 95% – szczepienie uchroni Ciê przed zaka¿eniem COVID-19.,"Nawet jeœli czujesz siê m³ody i silny, poprzez zaszczepienie przerwiesz ³añcuch zaka¿eñ.","Od wybuchu epidemii na COVID-19 zmar³o ju¿ ponad 1,5 mln ludzi na ca³ym œwiecie. Ka¿dy zaszczepiony to potencjalnie od kilku do kilkunastu osób uchronionych przed zara¿eniem.","Szczepi¹c siê, zyskasz wewnêtrzny spokój, wynikaj¹cy z bezpieczeñstwa w³asnego i najbli¿szych.","Szczepi¹c siê, przyczyniasz siê do szybszego znoszenia ograniczeñ i powrotu nas wszystkich do normalnego ¿ycia.",,,
szeregowy,Warto siê szczepiæ,Szansa na powrót do sytuacji sprzed pandemii,Mniejsze ryzyko zachorowania na COVID-19,"Ochrona osób, które nie mog¹ poddaæ siê szczepieniu","Obecnoœæ osób zaszczepionych w danej populacji zmniejsza prawdopodobieñstwo zachorowania na chorobê COVID-19 u osób, które nie zosta³y jeszcze zaszczepione lub które nie mog¹ zostaæ poddane szczepieniu. Dziêki temu chronimy tak¿e naszych najbli¿szych i ca³e spo³eczeñstwo. ",,,,
równoleg³y,Warto siê szczepiæ,Dopuszczone do stosowania szczepionki na COVID-19  przechodz¹ oficjaln¹ weryfikacjê,Szczepionki s¹ skuteczn¹ broni¹ przeciw chorobom zakaŸnym,Ciê¿kie niepo¿¹dane odczyny poszczepienne s¹ bardzo rzadkie,Szczepienie przeciw COVID-19 z³agodzi przebieg ewentualnej infekcji,,,,
szeregowy,Warto siê szczepiæ,Szczepionka mo¿e zapobiec zachorowaniu na COVID-19.,"Otrzymanie szczepionki na COVID-19 mo¿e z³agodziæ przebieg choroby, gdy jednak zachorujesz.","Ochronisz innych - rodzinê, przyjació³ i znajomych, szczególnie osoby o podwy¿szonym ryzyku ciê¿kiego przebiegu COVID-19.",(...)Szczepienia s¹ skuteczn¹ metod¹ ograniczania rozprzestrzeniania siê chorób zakaŸnych. A dziêki ograniczeniu epidemii bêdzie mo¿na powoli znosiæ obostrzenia i wracaæ do normalnego ¿ycia.,,,,
równoleg³y,Zaszczep siê przeciw COVID-19,"S¹ ju¿ obserwacje, równie¿ prace z Polski, które mówi¹, ¿e przechorowanie COVID-19 pozostawia odpornoœæ na krótszy okres czasu ni¿ szczepienie.","S¹ liczne prace, które mówi¹, ¿e odpornoœæ po przechorowaniu to jest inna odpornoœæ ni¿ po szczepieniu.",,,,,,
równoleg³y,Zaszczep siê przeciw COVID-19,Technologia wytwarzaniach nowych szczepionek dopuszczonych do obrotu nie jest nowoœci¹.,"Przy tej pandemii zwiêkszono zasoby zarówno ludzkie (ekspertów), finansowe, jak i organizacyjne na tak¹ skalê, jaka w historii chorób zakaŸnych nie mia³a miejsca.","Wszystkie szczepionki przesz³y pe³ne wyniki badañ: przedklinicznych (in vitro, laboratoryjnych), nastêpnie badania na profilach zwierzêcych (tu mówimy o kwestiach toksykologicznych) oraz wszystkich badañ klinicznych: pierwszej, drugiej i trzeciej fazy, gdzie ustalaliœmy dawki. ",,,,,
szeregowy,Zaszczep siê przeciw COVID-19,"Od samego pocz¹tku zak³adane by³o, ¿e szczepionka ma chroniæ przed chorob¹.","Co wiêcej, przy kolejnych badaniach ustalono, ¿e szczepionka chroni przed ciê¿kim przebiegiem choroby.","A wiêc my to w tej chwili wykorzystujemy, patrz¹c na to, jak normalnie, w praktyce, w klinice, przyjmujemy pacjentów.",My widzimy tê ró¿nicê przebiegu samej choroby u pacjentów zaszczepionych i pacjentów niezaszczepionych.,"I gwarantujê pañstwu, ¿e ta ró¿nica jest olbrzymia – to jest zupe³nie inny przebieg tej choroby.",Korzyœci zastosowania szczepionki s¹ bardzo du¿e.,,
równoleg³y,Zaszczep siê przeciw COVID-19,"To jest szczepionka tzw. zabita, która nie powoduje ¿adnych powik³añ czy problemów u osób, które maj¹ choroby przewlek³e wspó³istniej¹ce.",To jedna z najbezpieczniejszych szczepionek.,,,,,,
równoleg³y,Zaszczep siê przeciw COVID-19,Szczepionki s¹ œciœle monitorowane.,"Je¿eli cokolwiek by siê pojawi³o, ¿e ten stosunek korzyœci do ryzyka by³by niew³aœciwy, ¿e wiêksze ryzyko niesie ze sob¹ szczepionka, Europejska Agencja Leków natychmiast wycofa tak¹ szczepionkê.",,,,,,
szeregowy,Zaszczep siê przeciw COVID-19,"Mamy do wyboru albo siê zaszczepiæ now¹ szczepionk¹ zbadan¹ na 70 tys. osobach, które potwierdzi³y jej skutecznoœæ i bezpieczeñstwo, albo zaraziæ siê dzikim koronawirusem, co grozi, w przypadku hospitalizacji, dziesiêcioprocentow¹ œmiertelnoœci¹. ","Wiêc maj¹c do wyboru zachorowanie albo szczepienie, wybór szczepionki jest znacznie bezpieczniejszy.",,,,,,
równoleg³y,Zaszczep siê przeciw COVID-19,"Szczepienia, jeœli popatrzymy na historiê medycyny, wielokrotnie tak naprawdê ratowa³y ludzkoœæ i powodowa³y, ¿e groŸne patogeny po prostu by³y eradykowane, czyli znika³y – przestawa³y byæ istotnym problemem zdrowotnym.","Im wiêcej osób bêdzie odpornych, nawet tych, dla których przechorowanie by³oby niegroŸne, tym wiêksza szansa, ¿e ochronimy tych, którzy z powodu choroby mog¹ po prostu umrzeæ.",,,,,,
szeregowy,Zaszczep siê przeciw COVID-19,Koronawirusy rzeczywiœcie siê zmieniaj¹.,"Natomiast wiemy, ¿e w przypadku wirusa SARS-CoV-2, ten kolec, czyli „spike”, wobec którego produkowane s¹ przeciwcia³a (dziêki podaniu szczepionki), to jest ta czêœæ taka bardzo sta³a, która w³aœnie nie mutuje.",,,,,,
równoleg³y,Zaszczep siê przeciw COVID-19,"Ca³e spo³eczeñstwo powinno skorzystaæ z dobrodziejstw, jakie nios¹ ze sob¹ szczepienia.","Im szybciej zaszczepimy siê jako populacja, tym szybciej osi¹gniemy odpornoœæ zbiorowiskow¹. ","Skuteczne szczepienie jest nasz¹ jedyn¹, najwa¿niejsz¹ broni¹ z epidemi¹.",,,,,
szeregowy,#ZaszczepSiê,Szczepienie przeciwko COVID-19 redukuje ryzyko ciê¿kiego przebiegu choroby oraz powik³añ. ,"Skutkami COVID-19 mog¹ byæ uszkodzenia nerek, uszkodzenia uk³adu nerwowego, zakrzepy naczyñ krwionoœnych etc. ",,,,,,
równoleg³y,Zaszczep siê jeœli jeszcze tego nie zrobi³_œ!,Globalna pandemia siê skoñczy.,Bêdziesz móg³/mog³a spotykaæ siê z ludŸmi jak kiedyœ. ,Twoja rodzina dostanie miejsce w szpitalu gdy stanie siê jej coœ z³ego.,,,,,
szeregowy,#SzczepimySiê,Dziêki szczepieniom osi¹gniemy odpornoœæ zbiorow¹. ,Brak osi¹gniêcia odpornoœci zbiorowej równa siê ponownemu pe³nemu zamkniêciu gospodarki lub udostêpnieniu jej tylko osobom zaszczepionym i posiadaj¹cym aktualny wynik testu.,,,,,,
szeregowy,"Wybierz m¹drze, zaszczep siê.",G³ównym zadaniem szczepieñ przeciw COVID-19 jest zmniejszenie ryzyka hospitalizacji i zgonu.,Osoby niezaszczepione by³y 10x czêœciej hospitalizowane z powodu COVID-19 ni¿ osoby zaszczepione.,,,,,,
równoleg³y,"Zaszczep siê, szczepionka jest bezpieczna",Szczepionki przeciwko COVID-19 zosta³y starannie przebadane ,,Szczepionki przeciwko COVID-19 zosta³y dopuszczone do obrotu dopiero po wczeœniejszym przetestowaniu,"Ulotki szczepionek s¹ ogólnodostêpne, mo¿na bez problemu zweryfikowaæ ich sk³ad",,,,
równoleg³y,Zaszczep siê przeciw COVID-19,Dziêki zaszczepieniu siê ³agodniej przejdziesz chorobê,"Je¿eli jesteœ zaszczepiony, po przebytej chorobie nie wyst¹pi¹ powik³ania",,,,,,
szeregowy,Zaszczep siê przeciw COVID-19,Dziêki przyjêciu szczepionki przeciwko COVID-19 powiekszasz grupê osób zaszczepionych,,"Im wiêcej osób zaszczepionych, tym wiêksze prawdopodobieñstwo powrotu do ¿ycia sprzed pandemii",,,,,
równoleg³y,Zaszczep siê przeciw COVID-19,Szczepienia zabezpieczaj¹ w oko³o 90% przed zaka¿eniem oraz praktycznie w 100% chroni¹ przed ciê¿kim przebiegiem choroby,"Dziêki temu, ¿e zaszczepisz siê przeciwko COVID-19 ochronisz swoich bliskich przed potencjalnym zara¿eniem ich oraz osoby które nie mog¹ poddaæ siê szczepieniu",,,,,,
równoleg³y,"Wybierz m¹drze, zaszczep siê. ","Badania potwierdzi³y, ¿e szczepionki przeciw COVID-19 dla dzieci w wieku powy¿ej 5 roku ¿ycia s¹ bezpieczne i zmniejszaj¹ ryzyko ciê¿kiego przebiegu choroby. ","Pandemia zostanie z nami tym d³u¿ej, im wiêkszy odsetek populacji pozostanie niezaszczepiony. ",,,,,,
szeregowy,"Zaszczep siê, noœ maseczki i uwa¿aj na siebie dla kotków.",Kotki te¿ zara¿aj¹ siê covidem.,Kotek bez bardzo kosztownego i bolesnego leczenia nie prze¿yje FIPa.,,,,,,
równoleg³y,Zachêcam raz jeszcze bardzo gor¹co wszystkich mieszkañców Suwa³k by zdecydowali siê przyj¹æ szczepionkê przeciw koronawirusowi.,"Wszyscy têsknimy za normalnoœci¹ i zniesieniem oganiczeñ w funkcjonowaniu jednostek, organizacji i firm. To umo¿liwi nam szczepionka.","Staniemy siê bezpieczni dla rodziny, znajomych i naszych wspó³pracowników. ",Przede wszystkim zagwarantujemy bezpieczeñstwo w³asnego zdrowia.,Ta choroba nie jest zwyk³ym sezonowym przeziêbieniem. ,,,,
równoleg³y,Osoby m³ode powinny siê szczepiæ,"Wiemy ju¿, ¿e wirus nie wybiera. Zaka¿a zarówno osoby starsze jak i osoby m³odsze. ",Osoby m³odsze bardzo czêsto maj¹ wiêcej kontaktów miêdzy sob¹ i to ryzyko zaka¿enia jest wiêksze.,"Wiemy te¿, ¿e wirus siê zmieni³, sta³ siê bardziej patogenny. Te wariany brytyjskie, o których mówi siê tak du¿o, to jest wirus, który jest bardziej zjadliwy, czyli potrafi wyrz¹dziæ wiêksz¹ krzywdê ale te¿ bardziej zakaŸny, czyli jest w stanie zakaziæ wiêksz¹ liczbê osób. ",Szczepienia w wiêkszoœci przypadków chroni¹ przed ciê¿kim przebiegiem choroby. ,Niezale¿nie od grupy wiekowej m³odzi te¿ choruj¹ ciê¿ko.,,,
